BUSINESS NAME,SECTOR,CATEGORY,ADDRESS,ZONE,PIN CODE,RATING,RATING_missing,RATING_filled_mean
ICICI Bank,Others,Finance,"3G79+P6P, Shettihalli Main Rd, Shetty Halli, Jalahalli West, Bengaluru, Karnataka 560015, India",North,560015,1.0,False,1.0
ICICI BANK ATM,Others,Finance,"Aveda Meta, Pvt Ltd, First American (India), 184, Old Madras Rd, opp. Metro Stn, Binna Mangala, New Tippasandra, Bengaluru, Karnataka 560038, India",East,560038,1.0,False,1.0
Union Bank of India,Others,Finance,"#971/29, MIG, 3RD 'A' SECTOR, DIST. BENGALURU RURAL, Yelahanka 5th Phase, Sadanandanagar, Yelahanka New Town, Bengaluru, Karnataka 560064, India",East,560064,1.0,False,1.0
ICICI BANK ATM,Others,Finance,"Industrial Area Branch, EPIP, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",East,560066,1.0,False,1.0
Raghavendra Medical,Medical & Health,Pharmacy,"Shop .475, Goverdhan Gardhen, 3, Jc Industrial Area, Prathiba Industrial Estate, Kumaraswamy Layout, Bengaluru, Karnataka 560111, India",South,560111,1.0,False,1.0
Max,Retail,Fashion,"Kata No 6/2, Bhartiyacity Yelahanka, near Regal Hospital, Chokkanahalli, Thanishandra, Bengaluru, Karnataka 560064, India",North,560064,1.0,False,1.0
Axis Bank ATM,Others,Finance,"8 Singapura Main Road Ms Palya, Post, opp. Harsha Dental Clinic, Bharath Nagar, Mohammed Sab Palya, Vidyaranyapura, Bengaluru, Karnataka 560097, India",North,560097,1.0,False,1.0
Sanjeevini Medical & General Stores,Medical & Health,Pharmacy,"No.109, 2nd Main Road, 1st Cross, Varadaraja Nagar, Bangalore-97, Vidyaranyapura, Bengaluru, Karnataka 560097, India",North,560097,1.0,False,1.0
SBI Branch Bm Road Channarayapatna,Others,Bank,"NO. 102, PB NO 1, Bengaluru - Mangaluru Hwy, Yeshwanthpur Industrial Area, Phase 1, DIST, Channarayapattana, Bengaluru, Karnataka 573116, India",West,573116,1.0,False,1.0
Bank Of Baroda,Others,Bank,"Peenya, Bengaluru, Karnataka 560022, India",West,560022,1.0,False,1.0
Bank of Baroda ATM,Others,Finance,"Medaralli, RR Institute Branch, Chikkabanavara, Hesarghatta, Main Rd, Raja Reddy Layout, Bengaluru, Karnataka 560090, India",North,560090,1.0,False,1.0
Aditya Pharmacy,Medical & Health,Pharmacy,"BLOCK-D, JASON ENCLAVE, Narayanapura, Bengaluru, Karnataka 560077, India",East,560077,1.0,False,1.0
Union Bank of India,Others,Finance,"Survey No 199\3, Kaggadasapura Main Rd, opposite to 6th Main Road, CV Raman Nagar, Kaggadasapura, Bengaluru, Karnataka 560093, India",East,560093,1.0,False,1.0
L.J. IYENGARS CAKE HOYSE,Food & Beverages,Bakery,"5, Muthsandra Main Rd, opp. Five Star, near Andhra Bank, Varthur, Bengaluru, Karnataka 560087, India",East,560087,1.0,False,1.0
SHREE HARDWARE AND PLYWOOD,Retail,Electronics_Store,"Chikkagolarathi, No 1 2, And Main Road, near L K C Fruits, Kamath Layout, Gollarahatti, Bengaluru, Karnataka 560091, India",West,560091,1.0,False,1.0
Srivas Tea,Food & Beverages,Cafe,"Service Rd, Muniswara Nagar, Hegganahalli, Bengaluru, Karnataka 560058, India",North,560058,1.0,False,1.0
ICICI BANK ATM,Others,Bank,"54/ 2 Venkatesh s/o late muniveerappa, 4th Main Rd, Jalahalli Village, Jalahalli, Bengaluru, Karnataka 560013, India",West,560013,1.0,False,1.0
Parvathi Clinic,Medical & Health,Doctor,"1st Main Kamakshpalya, Ward No. 17, 11th Main, 6th Cross, 8th Cross Rd, Sannakki Bayalu, Vrishabha Nagar, Kamakshipalya, Bengaluru, Karnataka 560079, India",West,560079,1.0,False,1.0
Fresh2Home,Retail,Grocery,"Site No1, GSV Complex, Gayathri Layout, Chikkabasavanapura, Krishnarajapuram, Bengaluru, Karnataka 560036, India",East,560036,1.0,False,1.0
BAKE N JOY,Food & Beverages,Bakery,"Anjanapura Village, Anjanapura, Bengaluru, Karnataka 560108, India",South,560108,1.0,False,1.0
